20180727030029953e3d6c_acb1_455f_be1a_e42def61cf4e,8c16a9b79e9ba44c8fe66741f0859b4f,1532631629,1532638733,"ClusterInfo": ""
2018072706411049d4ecf3_f0bb_4ede_b41e_3bc6ab22eb74,e318fe28ea29799eccd269529fd52c55,1532644871,1532651775,"ClusterInfo": ""
201807271002060cc09954_07fa_4771_ac7e_ab6b9cd45ba9,572206fa66d99ff85b972da3dea2a34b,1532656926,1532657726,"ClusterInfo": ""
20180727011351e6c04152_290d_493e_be1d_9def6ffbc8ea,3d4e1624d0af8f816121c6783ff811c4,1532625231,1532676313,"ClusterInfo": "{"ps":{"count":1,"cpu":2,"memory":2000},"worker":{"count":1,"cpu":2,"memory":2000}}"
2018072711245728252ef0_ae64_4c8c_b11f_24a4f8b98813,e0ff1154de60bd4dc605d6cfb96fa880,1532661897,1532689360,"ClusterInfo": "{"ps":{"count":1},"worker":{"count":8,"gpu":25}}"
201807271241430774cc1e_c5c4_4778_ae4a_c553d6e7f7e0,86a20a2d06974fcdde7fcbc52b004e63,1532666503,1532692816,"ClusterInfo": "{"ps":{"count":10},"worker":{"count":20,"gpu":25}}"
20180727122554f68b6981_3c70_41a3_8cd6_166c4e11c8af,61099f0f09e17cff960790c4fcc05846,1532665554,1532678902,"ClusterInfo": "{"ps":{"count":4,"cpu":1200,"memory":6000},"worker":{"count":8,"cpu":1800,"gpu":50,"memory":30000}}"
20180727133628d200a47f_8508_4612_821c_06265f02f331,525a9c1f013cd588871db41dfddb5a12,1532669789,1532675322,"ClusterInfo": ""
201807271049308f76d84c_3839_4c2a_aee9_411651c871c8,2d22e0396694b0b0cf3905c991579f3f,1532659770,1532671316,"ClusterInfo": ""
2018072713575935d02aac_8ddc_42d3_ad63_16ee5a0750cd,598e062b5518267c3da3a03bf0bbe5ca,1532671079,1532671783,"ClusterInfo": ""
20180727103936978a2e9e_b49d_4d9f_9c41_bfd20e0b9ade,67b72e69455a9bafd9ef2ceae72e35ad,1532659176,1532659320,"ClusterInfo": ""
20180727152853ea2c609b_5a4d_402a_9687_8b28021d6abb,468adbf223e1f5cd18dfff77aaa3de90,1532676533,1532676671,"ClusterInfo": ""
20180727150132be0fcf8d_3f82_4c21_ae8f_6a4051ba807b,347fbceb91296f56c491c235bd9d9e4d,1532674892,1532678242,"ClusterInfo": "{"ps":{"count":2},"worker":{"count":4,"gpu":20}}"
2018072715150414e68807_070e_4b7a_82c1_5a3c60339905,4232bbd0093e00016c09697f98b59137,1532675704,1532676930,"ClusterInfo": "{"ps":{"count":1},"worker":{"count":10}}"
20180727113447148bbecd_600a_4d19_a8e3_9fd7b5c667d1,917cb3a8e5719250a15e7bb50f6c00ad,1532662549,1532663092,"ClusterInfo": ""
201807270029573dcde06b_664c_43cd_b259_ae370dae6379,9c2f87604689a087e058a7489501146e,1532622597,1532628710,"ClusterInfo": "{"ps":{"count":1},"worker":{"count":1,"gpu":50,"cpu":2000}}"
20180727153441a0f16ea7_cf63_47b3_a171_b96b0f084e11,a2cec614876230af025a5cbf60459daf,1532676882,1532697822,"ClusterInfo": ""
